Id,Video,Emotion,emotion_clean,emotion_label,video_path
1,https://drive.google.com/file/d/1uJrAub9Ht_4X_u2RXk6hkbxupGZCRqmU/view?usp=drive_link,Trust,Trust,1,../data/raw/videos/Trust/1.mp4
2,https://drive.google.com/file/d/1zM_ds6y4N-22v49ZU2rB_Sv5vgsKOLt4/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/2.mp4
3,https://drive.google.com/file/d/18LgEBVLPh6xc55CzQJLSWdVx9XYjYMY5/view?usp=sharing,Trust,Trust,1,../data/raw/videos/Trust/3.mp4
4,https://drive.google.com/file/d/1dyMYKBLHBfuAv4VbTF7iMaFPqfJ-du9x/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/4.mp4
5,https://drive.google.com/file/d/1bMMUhXgigGbM5TCG8EYHarZfjcZVL3k7/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/5.mp4
6,https://drive.google.com/file/d/1au3KSMGEcUdinzTX1uG8T7o624m1Iv7J/view?usp=drive_link,Anger,Anger,7,../data/raw/videos/Anger/6.mp4
7,https://drive.google.com/file/d/176fAs32KUJyEuSHg0WcVSqKGzjvk7mAs/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/7.mp4
8,https://drive.google.com/file/d/1hoQ3JriTraxmSlG6ePqy_hm0T4Q_uHyc/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/8.mp4
9,https://drive.google.com/file/d/1rEv2BCHM-w0kGESW7zArV0hwbxMeTzhR/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/9.mp4
10,https://drive.google.com/file/d/1dQo2iCSbbGDpkuvaeevt-J0yWbc0Pbfr/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/10.mp4
11,https://drive.google.com/file/d/1YbfJb9n-H24D0ud3jDZxtskL7sf-nVS5/view?usp=drive_link,Trust,Trust,1,../data/raw/videos/Trust/11.mp4
12,https://drive.google.com/file/d/1mTjeo_jyHUAXaLkzAigr6gjnXRoWN1YV/view?usp=drive_link,Trust,Trust,1,../data/raw/videos/Trust/12.mp4
13,https://drive.google.com/file/d/10ETQNxneJf4Q185_btWMVVZz1n3CBwp5/view?usp=drive_link,Joy,Joy,2,../data/raw/videos/Joy/13.mp4
14,https://drive.google.com/file/d/1eu9PHjd3VO3fyp5776ZNBWTpYMaQRXBm/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/14.mp4
15,https://drive.google.com/file/d/1M_6SY752Q2DDMQ-SReTEMXeOfG9Nhd6V/view?usp=drive_link,Trust,Trust,1,../data/raw/videos/Trust/15.mp4
16,https://drive.google.com/file/d/1wCIyDhTVr-SO6Z6hY5XMdn-gEgmRcamD/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/16.mp4
17,https://drive.google.com/file/d/12kwKqiLekHc7tvTQeSgDtzLSL0osZWo_/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/17.mp4
18,https://drive.google.com/file/d/18lAsOO3SaQt8eaMyr-jRKl6PjUu6ryRR/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/18.mp4
19,https://drive.google.com/file/d/16qQnlpZqJECTwo155G3CILMUmo9T7Oh-/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/19.mp4
20,https://drive.google.com/file/d/1gr6eVSYlzBHXVUpGY_mMJklm6MHdHxA_/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/20.mp4
21,https://drive.google.com/file/d/1S72zxSaA4R1t3mwApeTHm4VJT-IDvjPL/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/21.mp4
22,https://drive.google.com/file/d/1_Wptog7sZ-Tf1GfIJ7tO5KSRv2d2QI1H/view?usp=drive_link,Trust,Trust,1,../data/raw/videos/Trust/22.mp4
23,https://drive.google.com/file/d/1FR5Bt9aR3614Xql9xLkq1v97H2fHn7Zp/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/23.mp4
24,https://drive.google.com/file/d/1kzfBs5I_n0a0yCwEh5PdNY5GgLqQRcez/view?usp=drive_link,Trust,Trust,1,../data/raw/videos/Trust/24.mp4
25,https://drive.google.com/file/d/16WW1YRA0NtmMptCht5jS6Ya7nWdNrRcg/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/25.mp4
26,https://drive.google.com/file/d/1scUxliWkEMlJAtMjyX4_zf1hpTzc-11m/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/26.mp4
27,https://drive.google.com/file/d/1k3qHBJISNZIr2N_uhRGZK5b4CP5JfaIv/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/27.mp4
28,https://drive.google.com/file/d/1AUN-OYd4ipaJoeEH4Zs4gmXo7B2S23Km/view?usp=drive_link,Trust,Trust,1,../data/raw/videos/Trust/28.mp4
29,https://drive.google.com/file/d/1FNfsB23xtWAnxr0ffwz2LYZAVdQJiv5P/view?usp=sharing,Surprise,Surprise,3,../data/raw/videos/Surprise/29.mp4
30,https://drive.google.com/file/d/1nXZKur-B1aybi2jDr_QvKu4Rlf9ZGpUZ/view?usp=drive_link,Trust,Trust,1,../data/raw/videos/Trust/30.mp4
31,https://drive.google.com/file/d/14euU6nfdqlu800-6Dewnz_dEM7m26acv/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/31.mp4
32,https://drive.google.com/file/d/1Z6HV13StqwXPvVsirZBEhTsACRuIXfvo/view?usp=drive_link,Trust,Trust,1,../data/raw/videos/Trust/32.mp4
33,https://drive.google.com/file/d/1iyOhhmxVkfNfb8Ye7VzVe49OVf5ntCaJ/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/33.mp4
34,https://drive.google.com/file/d/1rMIe5I873yBTKrmAlSZTjUoV4eZkZhas/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/34.mp4
35,https://drive.google.com/file/d/1SGmmz_hCldaOMxzhSpmiaqgCAXmk94cn/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/35.mp4
36,https://drive.google.com/file/d/1pd2OIfxF_zAGs7IG6Mh-PjTiE6uZk8aO/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/36.mp4
37,https://drive.google.com/file/d/1NXckEsK8mkUr4IlMs-Xz1G-fRG9y2OEd/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/37.mp4
38,https://drive.google.com/file/d/1oe6YLqtXw2dBwxrmrRIuVXlyW9_C0kLE/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/38.mp4
39,https://drive.google.com/file/d/18l6Q_OmL9Cs3NsmJKOQRpCCOVFsJVQ1H/view?usp=drive_link,Proud,Proud,0,../data/raw/videos/Proud/39.mp4
40,https://drive.google.com/file/d/1nDnDot4fOkyAnh-KWtafzbxRtIhkwZXa/view?usp=drive_link,Surprise,Surprise,3,../data/raw/videos/Surprise/40.mp4
41,https://www.instagram.com/reel/DKiuAisBYNW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Anger,Anger,7,../data/raw/videos/Anger/41.mp4
42,https://www.instagram.com/reel/DKWLTEUT9qE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Fear,Fear,6,../data/raw/videos/Fear/42.mp4
43,https://www.instagram.com/reel/DM99ottvLix/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust,Trust,1,../data/raw/videos/Trust/43.mp4
44,https://www.instagram.com/reel/DLwrr-xSQTm/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust,Trust,1,../data/raw/videos/Trust/44.mp4
45,https://www.instagram.com/reel/DKgoBraqcOf/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Fear,Fear,6,../data/raw/videos/Fear/45.mp4
46,https://www.instagram.com/reel/DKOArYwti9c/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Anger,Anger,7,../data/raw/videos/Anger/46.mp4
47,https://www.instagram.com/reel/DMWy5PEy4xZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust,Trust,1,../data/raw/videos/Trust/47.mp4
48,https://www.instagram.com/reel/DM-UeIaPURj/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Neutral,Neutral,4,../data/raw/videos/Neutral/48.mp4
49,https://www.instagram.com/reel/DHdhJZfhnbw/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Fear,Fear,6,../data/raw/videos/Fear/49.mp4
50,https://www.instagram.com/reel/DMzERt8T3YK/?utm_source=ig_web_copy_link,Trust,Trust,1,../data/raw/videos/Trust/50.mp4
