id,Video,Platform,Transcription,Summary,NER_Brand,NER_Location,NER_Organization,NER_Person,NER_Product,Emotion,Topic_ID,Topic_Label,Topic_Keywords,teks_final
1,https://drive.google.com/file/d/1uJrAub9Ht_4X_u2RXk6hkbxupGZCRqmU/view?usp=drive_link,Google Drive," 5 tenbe ban di rumah untuk lansia yang pertama, seat to stand gerak duduk berdiri dengan kursi dan bisa ditambah dengan kembaran yang kedua, trunk extension sambil tetap duduk, tekuk pungkum ke depan, lalu tegapkan kembar bebannya disesuaikannya yang ketiga, incline push up lakukan push up dengan menggunakan tembok yang keempat, seated overhead press sambil duduk, angkat botol ke atas atau bisa menggunakan dengan dumbbell yang kelima, seated dumbbell row dengan posisi punggung baju ke depan, angkat siku ke atas sambil memegang beban lakukan ini 2-3 kali seminggu ya follow aku untuk tips berikutnya","Rencana latihan rumah ini dirancang khusus untuk lansia dengan melibatkan lima gerakan utama: seat to stand untuk melatih gerak duduk berdiri, trunk extension untuk melatih otot punggung, incline push up menggunakan tembok untuk melatih dada, seated overhead press untuk melatih otot punggung belakang, dan seated dumbbell row untuk melatih otot lengan. Latihan ini direkomendasikan untuk dilakukan 2-3 kali seminggu untuk mendapatkan manfaat optimal.
Hasil akhir dari pelaksanaan rencana latihan ini diharapkan dapat meningkatkan fleksibilitas, kekuatan, dan keseimbangan lansia, serta membantu mencegah jatuh dan kondisi kesehatan lainnya yang sering terjadi pada usia lanjut.",,,,,dumbbell,Trust,1,Kebugaran,"latih, otot, kali, gera, pakai",tenbe ban rumah lansia seat stand gerak duduk diri kursi tambah kembar trunk extension duduk tekuk pungkum tegap kembar beban sesuai tiga incline push laku push tembok empat seated overhead press duduk angkat botol dumbbell seated dumbbell row posisi punggung baju angkat siku pegang beban laku kali minggu follow tips
2,https://drive.google.com/file/d/1zM_ds6y4N-22v49ZU2rB_Sv5vgsKOLt4/view?usp=drive_link,Google Drive," Abis main badminton, tangan sering sakit. Emang iya? Gerakan berulang seperti smash bisa menyebabkan cedera otot atau bisa juga dikarenakan dong ketika jaringan otot berusaha beradaptasi setelah olahraga berat Untuk mengatasi nyari otot setelah olahraga, biasanya gue lakuin pendinginan atau mengomprik es batu di area yang sakit dan gue juga biasanya minum protein ring dari Pro8G yang mengandung 8 gram protein dengan rasa yang clear dan nggak bikin enak jadi bisa bantu gue recover lagi setelah olahraga Gimana? Udah siap cobain di lapangan? Jangan lupa follow ya!","Tangan sering mengalami rasa sakit setelah bermain badminton akibat gerakan berulang seperti smash yang dapat menyebabkan cedera otot atau adaptasi jaringan otot. Untuk proses pemulihan, penulis melakukan beberapa langkah termasuk pendinginan, pengompresan dengan es batu, dan konsumsi suplemen protein Pro8G yang mengandung 8 gram protein untuk mendukung regenerasi otot.
Hasil akhir dari upaya pemulihan tersebut tampaknya efektif dalam mengurangi rasa sakit dan mempercepat proses pemulihan tangan setelah bermain badminton, meskipun tidak disebutkan secara spesifik apakah ada peningkatan performa atau kekuatan otot selama periode pemulihan ini.",,,,,Pro8G,Proud,1,Kebugaran,"latih, otot, kali, gera, pakai",habis main badminton tangan sakit gera ulang smash sebab cedera otot jaring otot usaha adaptasi olahraga berat atas cari otot olahraga dingin mengomprik es batu area sakit minum protein ring prog kandung gram protein clear bikin enak bantu recover olahraga coba lapang lupa follow
3,https://drive.google.com/file/d/18LgEBVLPh6xc55CzQJLSWdVx9XYjYMY5/view?usp=sharing,Google Drive," Akhirnya gue ikut event lari lagi setelah skip 1 tahun Lalu jauh nih gue ke Bandung dan bangun di pagi buta demi ikut acara Dog Fast Run 2025 ini Pas larinya dimulai, drama gue pun ikut dimulai Tiba-tiba perut gue tuh keram banget gak karuan Tapi gue gak videoin Pas posisi perut gue full semuanya keram banget itu gue udah gak fokus deh buat video-videoin Pokoknya gue fokus sama diri gue sendiri aja harus kuat sampe ke garis finis Karena selama proses keram perut itu gue udah mulai panik banget Soalnya itu tuh berlangsung lumayan lama sampe 2,5 km gue bener-bener full keram perut Tapi ya gue lawan semua rasa sakit itu karena gue gak mau kalah gue harus bisa kuat semangat sampe finis lain Dan sampe akhirnya gue pun berhasil sampe finis lain Walaupun ini gak sesuai target gue ya tapi gue udah berhasil finis di 37 menit untuk 5k Nah pas udah selesai lari gue kosal pokoknya sama kerumunan ini karena panjang banget ini ngantrinya Dan ternyata guys ini tuh bootnya Pilkita yang lagi dikerumunin orang-orang Karena disini tuh setiap pembelian minimal 25.000 kita tuh bisa dapetin grafier mendali loh Nih kalian lihat deh mendali gue jadi ada tulisan nama gue dan menit gue finis Ah keren banget ini fiksi bakalan gue pajang di rumah nanti Nah gak lupa juga nih selesai lari gue langsung minum Pilkita yang sirup ini Sebagai pilihan herbal yang terdiri dari cabe jawa, jahe merah dan juga ada madunya yang tepat banget Buat ngatasin capek, pegelinu dan nyari otot sehabis lari Tapi tenang aja nih guys ini gak bakalan bikin kita jadi ketergantungan kok Jadi walaupun gue habis lari gak ada lagi nih drama-drama kecapean","Pengguna mengikuti event lari Dog Fast Run 2025 di Bandung setelah melewatkannya pada tahun sebelumnya. Meskipun mengalami sakit perut selama 2,5 km lariannya, pengguna berhasil menyelesaikan lari 5 km dalam waktu 37 menit, meski tidak mencapai target waktu yang ditetapkan. Setelah lari, pengguna membeli produk Pilkita sebagai suplemen untuk membantu pemulihan, tanpa mengalami efek ketergantungan. Pengguna bahkan mendapatkan medali dengan nama dan waktu finisnya, menandai kesuksesan dalam acara tersebut.",,Bandung,,Nama gue,Pilkita; grafier mendali,Trust,1,Kebugaran,"latih, otot, kali, gera, pakai",acara lari skip bandung bangun pagi buta acara dog fast run pas lari drama perut keram karuan videoin pas posisi perut penuh keram fokus deh videovideoin pokok fokus kuat garis finis proses keram perut panik lumayan benerbener penuh keram perut lawan sakit kalah kuat semangat finis hasil finis sesuai target hasil finis menit pas selesai lari kosal pokok kerumun ngantrinya teman bootnya pilkita dikerumunin orangorang beli minimal grafier dal loh lihat deh dal tulis nama menit finis ah keren fiksi pajang rumah lupa selesai lari langsung minum pilkita sirup pilih herbal cabe jawa jahe merah madu ngatasin kesal pegelinu cari otot habis lari tenang teman bikin gantung habis lari dramadrama cape
4,https://drive.google.com/file/d/1dyMYKBLHBfuAv4VbTF7iMaFPqfJ-du9x/view?usp=drive_link,Google Drive," Bedah strategi main badminton gue, part 1 Nah disini ketika gue angkat bola, gue sama partner gue langsung siap defense tangan kiri Dan ketika lawan force smash nya udah keliatan berkurang, gue bisa defense dengan banting bola ke arah silang Jadi formasi lawan sedikit berantakan Tapi lawannya oke banget, masih bisa rapih lagi posisinya Kita atur bola lagi, tunggu lawan bikin kesalahan, main sambar dulu Dan ketika dapet bola tanggung, Vika Nah, kalau ini tempat favorit gue buat balikin servis lawan, lumayan bikin bingung lawan Siapa yang harus ambil, pemain depan atau pemain belakang Lihat hasilnya, lawan harus ekstra komunikasi dan jadi hasilnya celasaran buat gue dan paharus smash Gimana, lanjut part 2 gak nih? Jangan gue follow ya Terima kasih udah nonton","Penulis dan pasangannya fokus pada strategi pertahanan menggunakan tangan kiri saat mengangkat bola, termasuk mempertahankan dengan memukul bola ke arah silang jika lawan melakukan smash lemah, yang mengganggu formasi lawan. Strategi lainnya melibatkan menunggu lawan membuat kesalahan sebelum memainkan serangan sambar, serta membalikkan servis saat mendapatkan bola tanggung untuk membuat lawan bingung, yang akhirnya menyebabkan lawan melakukan kesalahan dan harus melakukan smash.",,,,Lawan; Lawannya; Vika; Pemain belakang,,Surprise,6,Olahraga,"bola, main, pukul, lawan, kaki",bedah strategi main badminton part angkat bola partner langsung defense tangan kiri lawan force smash kurang defense banting bola arah silang formasi lawan beranta lawan oke rapi posisi atur bola tunggu lawan bikin salah main sambar bola tanggung vika favorit balikin servis lawan lumayan bikin bingung lawan ambil main main lihat hasil lawan ekstra komunikasi hasil celasaran paharus smash part follow terima kasih tonton
5,https://drive.google.com/file/d/1bMMUhXgigGbM5TCG8EYHarZfjcZVL3k7/view?usp=drive_link,Google Drive," Benda serta igimen Batin Fan gua, part 3 Kali ini gua dapet lawan yang kuat banget defense-nya dan penempatan bolanya juga rapi Jadi gua harus bener-bener sambar dan emang tenaga Atur tempo permainan, defense, main lock, cari area yang kosong Lock lagi, dropshot, begitu dapat momen yang pas, baru hajar smash Nah, kalian juga harus bisa baca permainan lawan ya Kalo lawannya kuat defense ya jangan di smash terus Nanti tenaga kalian cepet habis dan jadi sulit di poin-poin akhir Harus bintar baca area yang kosong karena batin fan itu nggak cuma permainan power tapi bintangnya juga konsentrasi dan kecerdasan nonton Ayo sabar aja, tenang, nanti juga ketika lawan fokusnya beda-beda kurang pasti ada titik serang yang enak atau lawan bikin error Semoga bermanfaat dan jangan nipang polo ya","Pemain harus menghadapi lawan dengan pertahanan kuat dan penempatan bola yang rapi, sehingga mereka perlu fokus menyerang dengan manajemen energi yang baik, mengatur tempo permainan, dan mencari area kosong untuk melakukan lock dan dropshot. Selain itu, pemain lain harus memahami permainan lawan dengan lebih mendalam, bukan hanya melalui pukulan kuat tetapi juga melalui konsentrasi dan kecerdasan, serta menunggu kesempatan serang saat lawan fokus pada area yang berbeda.
Hasil akhir pertandingan menunjukkan bahwa strategi yang efektif melibatkan kombinasi antara manajemen energi, pengaturan tempo permainan, dan pemahaman mendalam terhadap permainan lawan, serta kesabaran dalam menunggu momen serang yang tepat.",,,,Batin fan; Lawan; Lawannya; Batin fan,,Proud,6,Olahraga,"bola, main, pukul, lawan, kaki",benda igimen batin fan part kali lawan kuat defensenya tempat bola rapi benerbener sambar tenaga atur tempo main defense main lock cari area kosong lock dropshot peristiwa pas hajar smash baca main lawan lawan kuat defense smash tenaga cepat habis sulit poinpoin bintar baca area kosong batin fan main kuat bintang konsentrasi cerdas tonton ayo sabar tenang lawan fokus bedabeda titik serang enak lawan bikin ganggu moga manfaat nipang polo
6,https://drive.google.com/file/d/1au3KSMGEcUdinzTX1uG8T7o624m1Iv7J/view?usp=drive_link,Google Drive," Benda strategi main badminton gue, part 2 Di match ini kita bisa perhatikan cara rotasi gue sama partner gue Ketika dapat potensi untuk bisa smash, partner gue langsung ambil posisi backup di depan Tapi karena power smash gue kurang, jadi lawan gue gampang buat balikin kara yang kosong Akhirnya gue ketinggalan untuk kejar bola Dan gue memutuskan untuk backhand tipis ke depan, beruntungnya lawan ROL Akhirnya gue main sabar dulu, lebih tenang Kasih dropshot silang dan smash karah lawan yang habis ambil dropshot Karena posisi lawan belum 100% siap Tapi kali ini partner gue eros sedikit Tapi akhirnya game ini gue berhasil menang bareng partner gue Gimana? Lanjut part 3 nggak nih? Semoga kalian bisa belajar dari strategi dan kesalahan yang gue lakuin ya Jangan lupa follow","Penulis dan pasangannya dalam pertandingan badminton tersebut berhasil melakukan rotasi yang efektif, dengan pasangan penulis selalu siap di posisi backup saat penulis memiliki peluang untuk smash. Meskipun penulis memiliki kelemahan pada smash, pasangan berhasil membantu dengan baik hingga lawan berhasil mengembalikan bola ke area kosong. Penulis kemudian memanfaatkan kesempatan dengan memukul backhand tipis ke depan, beruntung lawan melakukan error. Dengan strategi bermain sabar, penulis dan pasangannya akhirnya menang dengan menggunakan dropshot silang dan smash yang tepat ketika lawan masih belum siap sepenuhnya.",,,,Partner gue; Lawan; Rol,,Anger,6,Olahraga,"bola, main, pukul, lawan, kaki",benda strategi main badminton part match perhati rotasi partner potensi smash partner langsung ambil posisi backup kuat smash lawan gampang balikin kara kosong tinggal kejar bola putus backhand tipis untung lawan rol main sabar tenang kasih dropshot silang smash karah lawan habis ambil dropshot posisi lawan kali partner eros game hasil menang bareng partner part moga ajar strategi salah lupa follow
7,https://drive.google.com/file/d/176fAs32KUJyEuSHg0WcVSqKGzjvk7mAs/view?usp=drive_link,Google Drive," bikin lawan kalian kaget, pakai cara terima service kaya gini pertama, seolah-olah kita mau menerima service dan akan memukul dengan kencang tetapi di detik-detik akhir kita pukul kok secara perlahan ya atau kalian bisa juga seperti ini seolah-olah kita mau memukul ke arah yang lurus tetapi di detik-detik akhir kita dialokin arah raket dan poknya ya gimana? udah siap cobain di lapangan? jangan lupa follow ya","Teknik yang diperkenalkan adalah cara membangun keelementanan lawan dengan menipu gerakan pukulan saat menerima layanan. Teknik ini melibatkan pengecohkan gerakan awal dengan pukulan yang tampak keras namun di detik akhir dilakukan dengan lembut, atau mengarahkan pukulan ke arah yang berbeda pada saat terakhir. Peserta diminta mencoba teknik ini di lapangan dan untuk mengikuti perkembangan lebih lanjut, yang akan membantu mereka memperdalam pemahaman dan keterampilan dalam praktiknya.",,,,Lawan,,Surprise,6,Olahraga,"bola, main, pukul, lawan, kaki",bikin lawan kaget pakai terima layan seolaholah terima layan pukul kencang detikdetik perlahan seolaholah pukul arah lurus detikdetik dialokin arah raket pok coba lapang lupa follow
8,https://drive.google.com/file/d/1hoQ3JriTraxmSlG6ePqy_hm0T4Q_uHyc/view?usp=drive_link,Google Drive," bola di tengah harusnya siapa yang ambil ya? dalam permainan ganda, sebaiknya saling menjaga dan menutupi area yang kosong jadi ketika teman kita berada di posisi yang kurang tepat untuk defend sebisa mungkin kita saling menjaga area pertahanan jadi gak usah nyalahin temen ya, yang penting main fun dan olahraga bareng menurut kalian gimana? siapa yang harus ambil? coba komen di bawah","Dalam permainan ganda, strategi penting adalah memaksimalkan penyerangan dengan pemain yang lebih dekat dengan bola, sambil tetap menjaga pertahanan melalui penutupan area kosong. Pemain harus saling mendukung, dengan siapa pun yang berada di posisi tidak optimal harus ditutupi oleh rekan setimnya tanpa menimbulkan rasa bersalah. Tujuan utamanya adalah untuk mempertahankan atmosfer positif dan fokus pada kerja sama tim.
Hasil akhir dari implementasi strategi ini adalah peningkatan kinerja tim secara keseluruhan, baik dalam serangan maupun pertahanan. Tim dapat mencapai keseimbangan yang baik antara agresivitas penyerangan dan ketahanan pertahanan, serta membangun semangat tim yang kuat melalui dukungan saling membantu.",,,,Temen,,Surprise,6,Olahraga,"bola, main, pukul, lawan, kaki",bola ambil main ganda jaga tutup area kosong teman posisi defend bisa jaga area tahan salah teman main fun olahraga bareng ambil coba komen
9,https://drive.google.com/file/d/1rEv2BCHM-w0kGESW7zArV0hwbxMeTzhR/view?usp=drive_link,Google Drive," Boleh ya mau lap keringat dulu, dilap dulu Karena lumayan gobyos banget nih gerakannya Karena abis ini kita bakalan lebih gobyos lagi Yaitu bakalan lakuin mountain climber Tapi kalian udah gak asing kan denger nama mountain climber Let's go ya Tidak sudah cukup Kita mulai ke posisi seperti orang ingin plank Nah, seperti ini, habis itu bawa kaki ke depan Oke, let's go, kita mulai","Percakapan tersebut membahas tentang rutinitas pemanasan sebelum latihan berat, yang meliputi berbagai gerakan seperti lari, mountain climber, dan penarikan kaki ke posisi plank. Tujuan utama dari rutinitas ini adalah untuk mempersiapkan tubuh dengan optimal sebelum melakukan latihan intensitas tinggi. Hasil akhirnya adalah meningkatkan efektivitas latihan dan mengurangi risiko cedera.",,,,,,Proud,-1,Lainnya,"indonesia, main, kasih, coba, pakai",lap keringat lap lumayan gobyos gera habis gobyos mountain climber asing dengar nama mountain climber ayo pergi posisi orang plank habis bawa kaki oke ayo pergi
10,https://drive.google.com/file/d/1dQo2iCSbbGDpkuvaeevt-J0yWbc0Pbfr/view?usp=drive_link,Google Drive," Defense lu lemah, siap-siap pasti lawan langsung ngincar lu terus Jangan sampai lu jadi korban di lapangan ya, defense itu salah satu skill yang penting juga buat pemula Gini tip defense biar disfan lu makin kuat dan gak diincah terus sama lawan Pertama, posisi raket harus selalu di depan badan kita dan kasih sedikit jarak Jadi kita bisa kasih reflek yang bagus walaupun smash lawan kenceng Posisi kaki agak dibuka ya, dan kasih sedikit kuda-kuda biar badan kita stabil dan gak kaget sama smash lawan Nah, kalau bola berada sejajaran sama kepala kita, kita lepas aja udah pasti smashnya out Jadi jangan takut dan harus tetap tenang ya, gimana? Udah siap cobain di lapangan, jangan lupa follow ya","Pertahanan yang lemah dapat membuat pemain menjadi sasaran serangan lawan, namun beberapa tips dapat membantu. Pemain harus menempatkan raket di depan badan, memberikan sedikit jarak, dan memposisikan kaki sedikit terbuka untuk keseimbangan. Selain itu, jika bola berada di posisi sejajar dengan kepala, sebaiknya dilepaskan karena pasti akan keluar dari batas lapangan. Penting untuk tetap tenang dan tidak takut saat bermain agar performa tidak terganggu.
Hasil akhir dari implementasi strategi pertahanan ini adalah peningkatan kinerja dalam mengelabui lawan dan menjaga skor. Dengan teknik-teknik seperti menempatkan raket di depan, memberikan jarak, dan mempertahankan keseimbangan, pemain dapat mengurangi kesalahan dan meningkatkan kepercayaan diri mereka di lapangan.",,,,Lawan; Pemula,,Proud,6,Olahraga,"bola, main, pukul, lawan, kaki",defense lemah siapsiap lawan langsung ngincar korban lapang defense salah skill mula tip defense biar disfan kuat diincah lawan posisi raket badan kasih jarak kasih reflek bagus smash lawan kencang posisi kaki buka kasih kudakuda biar badan stabil kaget smash lawan bola sejajar kepala lepas smashnya takut tenang coba lapang lupa follow
